user_id,minutes_signup_purchase,device_count
74058,88166.0,1
284457,75839.0,1
364471,0.0,8
137203,115096.0,1
160166,50318.0,2
135063,0.0,7
261176,2484.0,1
276613,0.0,8
170345,29003.0,2
266449,45213.0,1
239778,0.0,12
385301,59047.0,1
318909,0.0,7
140208,82867.0,1
262467,0.0,11
51637,0.0,7
338765,100215.0,1
150809,0.0,6
290732,101346.0,1
151705,0.0,9
253803,0.0,11
42219,112724.0,1
246487,145665.0,2
309780,0.0,8
388600,77899.0,1
221821,16454.0,1
11789,43779.0,1
13481,109811.0,1
186150,0.0,10
173622,32897.0,1
293945,0.0,7
52815,43928.0,1
264288,158480.0,2
193756,0.0,9
34950,128754.0,1
283802,128084.0,1
9399,163180.0,2
208897,0.0,13
80905,43938.0,1
390797,172095.0,1
125973,87723.0,1
263463,29696.0,1
310502,0.0,11
243754,123982.0,1
271661,158754.0,2
115313,63852.0,1
393767,138276.0,2
242814,47683.0,1
201798,75557.0,1
333561,172006.0,1
165724,0.0,12
390088,0.0,10
45884,46288.0,2
207106,96425.0,1
110792,143292.0,1
111812,50380.0,1
85003,0.0,13
395742,74960.0,1
106384,0.0,13
379360,0.0,11
358351,51240.0,1
321743,0.0,13
115304,20345.0,10
261906,156766.0,1
296037,44160.0,1
176031,36646.0,1
93497,0.0,14
287364,44545.0,1
243412,87185.0,1
349930,81731.0,1
293274,0.0,10
40332,98043.0,1
42973,2356.0,1
292358,121584.0,1
399610,84216.0,1
389888,31846.0,2
94276,67660.0,1
147433,111095.0,1
24353,24909.0,1
250213,0.0,8
167207,136562.0,1
170812,84977.0,1
264780,105275.0,1
197664,138260.0,1
74136,152313.0,1
236394,15993.0,1
53347,27541.0,1
293826,12695.0,2
313113,0.0,12
330296,21485.0,1
167418,143150.0,1
355246,11466.0,1
362750,0.0,8
74754,0.0,17
109612,0.0,13
279253,66728.0,1
370848,161005.0,1
65568,0.0,10
56387,0.0,13
307653,0.0,9
326102,47112.0,1
101796,86810.0,1
344195,89869.0,2
224594,0.0,6
387798,62311.0,1
169991,112278.0,1
345384,121386.0,2
246572,148996.0,2
38706,163090.0,1
301293,114105.0,1
271243,0.0,10
136571,150758.0,1
91517,0.0,14
18531,160190.0,1
372055,16432.0,1
349011,108138.0,1
29223,42242.0,1
50961,0.0,11
242527,142160.0,1
262876,2874.0,1
321663,136019.0,1
324599,62354.0,1
112703,0.0,7
115343,115584.0,1
62367,167942.0,1
184608,120999.0,2
182526,47608.0,1
9161,144827.0,1
38567,118558.0,1
380673,0.0,8
312458,146682.0,1
97208,166767.0,2
49665,113557.0,1
75278,38916.0,1
353100,98507.0,1
208388,124840.0,1
29543,88181.0,1
326417,0.0,7
163716,31340.0,1
304141,131120.0,1
305659,129283.0,1
310606,0.0,11
87094,98391.0,1
83665,46451.0,1
299921,41189.0,1
164514,79814.0,2
195632,82898.0,1
206161,0.0,12
67054,154717.0,2
14664,159760.0,1
369713,101114.0,1
146061,80920.0,2
298332,0.0,11
139926,0.0,6
113055,118047.0,2
160147,130678.0,1
87332,0.0,10
18010,94130.0,1
389072,52426.0,2
199848,0.0,6
342305,58395.0,1
247212,142996.0,1
45640,168790.0,1
36727,58751.0,1
26760,0.0,11
83769,68014.0,2
14745,166491.0,1
24468,52264.0,1
319995,44552.0,1
67824,87186.0,1
372506,156387.0,1
347745,0.0,10
98243,0.0,11
260933,0.0,14
29770,0.0,8
60049,14116.0,1
97227,4154.0,1
70585,111127.0,1
53075,108450.0,1
395755,114293.0,1
376382,63268.0,1
51662,108516.0,1
224812,9242.0,2
374067,0.0,8
194429,166442.0,1
65116,12130.0,1
9880,62570.0,1
168683,0.0,5
125152,134198.0,1
243261,97549.0,1
172350,19389.0,1
365007,123981.0,1
327109,130336.0,1
104503,149776.0,1
201579,0.0,12
375937,0.0,8
344996,57853.0,1
348362,94845.0,1
60386,0.0,9
171332,25272.0,1
172231,85588.0,1
202276,0.0,9
95915,20516.0,1
368520,143704.0,1
340693,35102.0,1
61460,40607.0,1
9111,97370.0,2
304524,165309.0,1
348218,93025.0,1
299892,57516.0,1
127595,0.0,9
145439,85373.0,1
333187,9586.0,1
375763,90844.0,1
120963,0.0,11
111807,0.0,13
273339,26439.0,1
72332,0.0,10
201022,17720.0,1
367648,14304.0,1
47558,159087.0,1
395330,0.0,9
224947,0.0,10
271176,0.0,8
111029,38087.0,1
167972,157050.0,1
38653,0.0,11
179838,109449.0,1
365792,167802.0,1
324023,0.0,13
329306,0.0,10
136341,8577.0,1
7587,101016.0,1
143546,0.0,3
86233,0.0,4
13094,142830.0,2
214177,138451.0,1
93369,0.0,9
325604,0.0,9
351241,85412.0,1
140680,151961.0,8
254601,109708.0,1
182566,106753.0,1
385028,136540.0,1
